10.087,9.144,-2.0233,0.26986
10.205,9.369,-2.114,0.23887
10.323,9.5939,-2.2048,0.20788
10.42,9.8126,-2.3036,0.17341
10.517,10.031,-2.4024,0.13892
10.59,10.238,-2.5089,0.10093
10.662,10.445,-2.6154,0.062894
10.703,10.632,-2.7281,0.021451
10.743,10.818,-2.8409,-0.020045
10.744,10.973,-2.9573,-0.064517
10.745,11.127,-3.0738,-0.10905
10.698,11.236,-3.1905,-0.15567
10.651,11.345,-3.3071,-0.20235
10.548,11.397,-3.4194,-0.2498
10.444,11.448,-3.5316,-0.29727
10.28,11.43,-3.6341,-0.34379
10.114,11.41,-3.7362,-0.39026
9.8837,11.311,-3.8227,-0.43365
9.6512,11.209,-3.9085,-0.4769
9.3561,11.021,-3.9726,-0.51467
9.0581,10.829,-4.0357,-0.55217
8.7037,10.549,-4.0719,-0.58171
8.3462,10.265,-4.1067,-0.61083
7.9434,9.9,-4.1108,-0.62983
7.538,9.5299,-4.1132,-0.64825
7.103,9.0927,-4.0835,-0.65499
6.6662,8.6512,-4.0517,-0.66099
6.2182,8.1651,-3.9896,-0.65487
5.7694,7.6758,-3.9253,-0.6479
5.3281,7.1685,-3.8348,-0.62935
4.8874,6.6599,-3.7423,-0.60992
4.47,6.1618,-3.6305,-0.58072
4.0546,5.6646,-3.5171,-0.55073
3.674,5.2023,-3.392,-0.51328
3.2964,4.7431,-3.2658,-0.47517
2.9593,4.3375,-3.1361,-0.43255
2.626,3.937,-3.006,-0.38951
2.3342,3.5994,-2.8787,-0.34438
2.0466,3.268,-2.7515,-0.29905
1.7974,3.0016,-2.6326,-0.25414
1.5523,2.7421,-2.5145,-0.20927
1.3417,2.5442,-2.4067,-0.16588
1.1349,2.3532,-2.3001,-0.12266
0.95728,2.2168,-2.2055,-0.082064
0.78304,2.0868,-2.1122,-0.041775
0.63484,2.0022,-2.0301,-0.0042444
0.48988,1.9232,-1.9495,0.032944
0.36833,1.8818,-1.879,0.067373
0.24985,1.8454,-1.8098,0.10144
0.15741,1.8404,-1.748,0.13371
0.068537,1.8397,-1.6872,0.16574
0.0058774,1.8661,-1.6331,0.19593
-0.053017,1.8965,-1.5798,0.22587
-0.080916,1.952,-1.5311,0.25474
-0.10416,2.0113,-1.4831,0.28346
-0.094265,2.0941,-1.4391,0.311
-0.079172,2.1806,-1.3958,0.33836
-0.025158,2.2908,-1.3554,0.36498
0.03523,2.4049,-1.3155,0.39149
0.13533,2.5414,-1.279,0.4167
0.24221,2.6817,-1.2431,0.44169
0.39168,2.8438,-1.2107,0.46522
0.54872,3.0098,-1.1788,0.48849
0.74895,3.1959,-1.1508,0.50985
0.95716,3.3858,-1.1235,0.53085
1.2217,3.601,-1.0982,0.55128
1.4971,3.8211,-1.0733,0.57161
1.7896,4.0438,-1.0578,0.5859
2.0855,4.267,-1.0443,0.59899
2.4164,4.499,-1.0364,0.60858
2.7544,4.7327,-1.0296,0.61744
3.126,4.9722,-1.0286,0.62287
